iyear,region,region_txt,city,crit1,crit2,crit3,attacktype1,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt,nkill,nwound
2005,6,South Asia,Unknown,1,1,1,1,Assassination,15,Religious Figures/Institutions,5,Firearms,1.0,0.0
2005,6,South Asia,Khanjak,1,1,1,1,Assassination,8,Educational Institution,5,Firearms,1.0,0.0
2005,6,South Asia,Panjwai district,1,1,1,1,Assassination,2,Government (General),5,Firearms,1.0,0.0
2005,6,South Asia,Faizabad,1,1,1,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,0.0,1.0
2005,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,1.0,2.0
2005,6,South Asia,Unknown,1,1,1,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,0.0,0.0
2005,6,South Asia,Qasim Karez,1,1,1,1,Assassination,14,Private Citizens & Property,5,Firearms,3.0,0.0
2005,6,South Asia,Lashkar Gah,1,1,1,1,Assassination,2,Government (General),6,Explosives,1.0,0.0
2005,6,South Asia,Unknown,1,1,1,1,Assassination,2,Government (General),5,Firearms,1.0,0.0
2005,6,South Asia,Bak district,1,1,1,2,Armed Assault,3,Police,5,Firearms,1.0,6.0
2005,6,South Asia,Unknown,1,1,1,1,Assassination,2,Government (General),5,Firearms,1.0,0.0
2005,6,South Asia,Sangin district,1,1,1,2,Armed Assault,3,Police,5,Firearms,3.0,0.0
2005,6,South Asia,Gereshk,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,3.0,0.0
2005,6,South Asia,Khak-e Afghan,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,1.0,2.0
2005,6,South Asia,Khak-e Afghan,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,1.0,2.0
2005,6,South Asia,Shah Wali Kot district,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,4.0,3.0
2005,6,South Asia,Nad Ali district,1,1,1,2,Armed Assault,3,Police,5,Firearms,3.0,2.0
2005,6,South Asia,Lashkar Gah,1,1,1,2,Armed Assault,8,Educational Institution,5,Firearms,2.0,0.0
2005,6,South Asia,Panjwai district,1,1,1,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,0.0,0.0
2005,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,8,Educational Institution,6,Explosives,0.0,0.0
2005,6,South Asia,Hazar Juft,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,4.0,7.0
2006,6,South Asia,Farah,1,1,1,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,0.0,0.0
2006,6,South Asia,Unknown,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,1.0,0.0
2006,6,South Asia,Qalat district,1,1,1,1,Assassination,8,Educational Institution,9,Melee,1.0,0.0
2006,6,South Asia,Kandahar,1,1,1,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,0.0,0.0
2006,6,South Asia,Kandahar,1,1,1,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,0.0,0.0
2006,6,South Asia,Unknown,1,1,1,1,Assassination,2,Government (General),5,Firearms,1.0,0.0
2006,6,South Asia,Mihtarlam,1,1,1,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,0.0,0.0
2006,6,South Asia,Nawa-i-Barakzayi district,1,1,1,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,0.0,0.0
2006,6,South Asia,Gereshk,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,2.0,2.0
2006,6,South Asia,Bak district,1,1,1,3,Bombing/Explosion,4,Military,6,Explosives,5.0,4.0
2006,6,South Asia,Musa Qala district,1,1,1,2,Armed Assault,3,Police,5,Firearms,3.0,0.0
2006,6,South Asia,Sangin,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,19.0,23.0
2006,6,South Asia,Ghanikhel,1,1,1,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,1.0,1.0
2006,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,2.0,2.0
2006,6,South Asia,Khakrez,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,6.0,5.0
2006,6,South Asia,Bala Baluk district,1,1,1,3,Bombing/Explosion,1,Business,6,Explosives,4.0,0.0
2006,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,13.0,11.0
2006,6,South Asia,Aghajan,1,1,1,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,0.0,0.0
2006,6,South Asia,Unknown,1,1,1,1,Assassination,2,Government (General),9,Melee,2.0,0.0
2006,6,South Asia,Char Borjak,1,1,1,2,Armed Assault,3,Police,5,Firearms,1.0,4.0
2006,6,South Asia,Andar district,1,1,1,2,Armed Assault,3,Police,5,Firearms,1.0,0.0
2006,6,South Asia,Maywand district,1,1,1,2,Armed Assault,3,Police,5,Firearms,2.0,0.0
2006,6,South Asia,Nad Ali district,1,1,1,2,Armed Assault,3,Police,5,Firearms,3.0,0.0
2006,6,South Asia,Nad Ali district,1,1,1,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,0.0,0.0
